id,title,authors,description,content_url,lab_id,lab_name,published
,Dietary Patterns and Metabolic Syndrome Risk in College-Age Adults,Elena Walsh|Ravi Kapoor,"This study examines the relationship between dietary patterns identified through cluster analysis and metabolic syndrome risk factors in a cross-sectional sample of college-age adults. A Western dietary pattern characterized by high consumption of ultra-processed foods and sugar-sweetened beverages is associated with elevated risk across multiple metabolic syndrome components.",,cctbqzPRCq7ijKRVjy5c,Nutrition Science & Food Security Lab,2022-02-18
,Food Insecurity Screening and Intervention in Primary Care Settings,Ravi Kapoor|Susan Park,"This paper evaluates the implementation and effectiveness of standardized food insecurity screening and community resource referral protocols in primary care clinical settings. Practices that integrate screening with warm handoffs to food assistance navigators achieve significantly higher rates of successful resource connection for food-insecure patients.",,cctbqzPRCq7ijKRVjy5c,Nutrition Science & Food Security Lab,2023-08-07
,Ultra-Processed Food Consumption and Long-Term Cardiovascular Outcomes,Elena Walsh|Angela Reyes,"This prospective cohort study examines the association between ultra-processed food consumption and long-term cardiovascular disease incidence and mortality in a nationally representative sample of adults. A dose-response relationship between ultra-processed food intake and incident cardiovascular events persists after adjustment for overall diet quality and socioeconomic factors.",,cctbqzPRCq7ijKRVjy5c,Nutrition Science & Food Security Lab,2024-03-21
,Structural Racism and Preterm Birth Disparities in New England,Ravi Kapoor|Lena Graves,"This research applies an index of structural racism exposure at the census tract level to examine its contribution to persistent Black-white disparities in preterm birth rates across New England. Structural racism measures including residential segregation, economic disinvestment, and differential policing explain a substantial share of the racial gap in birth outcomes.",,efsblTT6PhC3vMhl0ui9,Public Health Systems & Health Equity Lab,2022-09-29
,Medicaid Managed Care and Continuity of Coverage for Low-Income Adults,Susan Park|Elena Walsh,"This study evaluates whether Medicaid managed care enrollment improves continuity of health insurance coverage and reduces gaps in care for low-income adults compared to fee-for-service Medicaid. Analysis of administrative data finds that managed care enrollment is associated with reduced coverage gaps but mixed effects on preventive care utilization.",,efsblTT6PhC3vMhl0ui9,Public Health Systems & Health Equity Lab,2024-01-23
,FAIR Data Principles Adoption Among Social Science Researchers,David Kim|Helena Voss,"This paper surveys the awareness, attitudes, and data management practices of social science researchers with respect to FAIR data principles covering findability, accessibility, interoperability, and reusability. We identify disciplinary variation in adoption rates and key institutional, technical, and normative barriers to implementation.",,zGoz0kc3FspboeudYsG1,Open Data & Research Commons Lab,2022-04-04
,Linked Open Data Infrastructure for Institutional Repository Networks,Helena Voss|Wei Zhang,"This research describes the development and evaluation of a linked open data infrastructure connecting distributed institutional repository systems to support cross-institutional discovery and reuse of research outputs. The system enables semantic querying across institutional boundaries and significantly improves research output discoverability for interdisciplinary users.",,zGoz0kc3FspboeudYsG1,Open Data & Research Commons Lab,2023-09-12
,Metadata Quality Assessment in Disciplinary Data Repositories,David Kim|Nina Kowalski,"This paper presents a framework and automated tools for assessing metadata quality in disciplinary research data repositories across dimensions of completeness, accuracy, consistency, and reusability. Application to four major social science data archives reveals systematic gaps in geographic coverage and temporal metadata that impede data discovery.",,zGoz0kc3FspboeudYsG1,Open Data & Research Commons Lab,2024-05-30
,Emulation Strategies for Long-Term Preservation of Born-Digital Art Objects,Nina Kowalski|Sophie Archer,"This study evaluates emulation-based preservation strategies for born-digital artworks, software-based installations, and interactive media across a range of legacy software environments and hardware dependencies. A decision framework for selecting among emulation, migration, and hybrid preservation approaches is developed and applied to ten case studies.",,VsdSPVBrYBym3TxUognL,Digital Preservation & Archival Science Lab,2021-07-08
,Format Obsolescence Risk Assessment for Government Digital Records,Sophie Archer|David Kim,"This paper presents a risk assessment methodology for evaluating format obsolescence threats to government digital record collections, incorporating format adoption curves, vendor support timelines, and migration pathway availability. Application to a state government digital archive identifies high-risk format concentrations and prioritizes migration investments.",,VsdSPVBrYBym3TxUognL,Digital Preservation & Archival Science Lab,2023-11-01
,Neighborhood Effects on Intergenerational Income Mobility,Claire Fontaine|James Owusu,"This study estimates neighborhood-level effects on intergenerational income mobility using administrative tax records linked to childhood residential location data for a cohort of children born in the 1980s. We find substantial variation in upward mobility outcomes across neighborhoods that persists after controlling for family income and other individual characteristics.",,J4uXNiMWB78Rz2MjEFOI,Social Mobility & Stratification Lab,2021-09-20
,College Major Choice and Long-Run Earnings by Race and Gender,Angela Reyes|Nathaniel Cross,"This paper examines the contribution of college major selection to racial and gender earnings gaps in the labor market using longitudinal data linking college records to earnings outcomes ten years after graduation. Major segregation accounts for a substantial share of both the gender earnings gap and race-specific earnings differences, with compounding effects at their intersection.",,J4uXNiMWB78Rz2MjEFOI,Social Mobility & Stratification Lab,2022-11-14
,Social Networks Job Matching and Labor Market Inequality,James Owusu|Leon Farber,"This research investigates how social network composition affects job search outcomes and wage determination, with particular attention to mechanisms through which network-based job matching perpetuates inequality across racial and class lines. We find that access to bridging ties in higher-wage occupational networks is a key driver of upward labor market mobility.",,J4uXNiMWB78Rz2MjEFOI,Social Mobility & Stratification Lab,2024-02-03
,Present Bias and Health Insurance Plan Selection,Oscar Bernstein|Elena Walsh,"This paper examines how present bias affects health insurance plan selection decisions in employer-sponsored and marketplace contexts using a combination of field data and laboratory experiments. Present-biased individuals systematically select plans with lower premiums but higher out-of-pocket costs, resulting in demonstrable welfare losses during adverse health events.",,Qi2XKZQHdFt6YEsGIGng,Behavioral Economics & Decision Lab,2022-08-11
,Social Comparison Nudges for Residential Energy Reduction,Oscar Bernstein|Ingrid Larsen,"This study evaluates a randomized controlled trial of social comparison home energy reports delivered to residential utility customers, examining treatment effect heterogeneity by housing type, consumption level, and household demographics. High-consuming households show the largest conservation responses, but effects decay without repeated feedback delivery.",,Qi2XKZQHdFt6YEsGIGng,Behavioral Economics & Decision Lab,2023-12-05
,Angle-Resolved Photoemission Spectroscopy of Topological Surface States,Yuki Lin|Stefan Braun,"This paper reports angle-resolved photoemission spectroscopy measurements of topological surface state band structure in a series of topological insulator thin films with varying thickness and surface termination. We characterize the Dirac cone dispersion, surface state penetration depth, and interaction between top and bottom surface states as a function of film thickness.",,3mDuOJgOESlc96n5NYDN,Quantum Materials & Condensed Matter Lab,2022-03-28
,Proximity-Induced Superconductivity in Topological Insulator Thin Films,Stefan Braun|Nadia Solberg,"This research investigates the proximity-induced superconducting state at the interface between topological insulator thin films and conventional superconductors using low-temperature tunneling spectroscopy and transport measurements. Evidence for topological surface state contributions to the induced gap and signatures consistent with Majorana edge modes are reported.",,3mDuOJgOESlc96n5NYDN,Quantum Materials & Condensed Matter Lab,2023-07-04
,Strain-Tunable Electronic Properties of Two-Dimensional Van der Waals Heterostructures,Yuki Lin|Marco Ricci,"This paper demonstrates strain-tunable electronic properties in van der Waals heterostructures assembled from two-dimensional materials using a piezoelectric substrate platform for applying in-plane biaxial strain. Continuous tuning of interlayer coupling, band alignment, and moiré superlattice periodicity is achieved across strain ranges accessible with standard piezoelectric actuators.",,3mDuOJgOESlc96n5NYDN,Quantum Materials & Condensed Matter Lab,2024-04-09
,Graph Neural Networks for Molecular Property Prediction in Drug Discovery,Anika Petersen|Liang Chen,"This study develops and benchmarks graph neural network architectures for predicting molecular properties relevant to early-stage drug discovery, including solubility, binding affinity, and toxicity. The proposed architectures incorporating hierarchical attention and 3D geometric features achieve state-of-the-art performance on standard molecular property benchmarks.",,Rfk0DTVogLOlM7hGQg5t,Computational Chemistry & Molecular Design Lab,2022-10-17
,Ab Initio Thermodynamics of Transition Metal Oxide Catalysts,Raj Subramaniam|Stefan Braun,"This paper applies density functional theory and ab initio thermodynamics to investigate the surface phase diagrams and catalytic activity of transition metal oxide catalysts under realistic reaction conditions. The approach reveals coverage-dependent active site structures and explains experimentally observed activity trends across the transition metal series.",,Rfk0DTVogLOlM7hGQg5t,Computational Chemistry & Molecular Design Lab,2024-01-31
,Supply Chain Disruption and Inventory Resilience in Small Manufacturers,Rachel Torres|Claire Fontaine,"This research examines inventory resilience strategies adopted by small manufacturing firms in response to supply chain disruptions, drawing on survey and case study data from a sample of New England manufacturers. We find that diversified supplier networks and modest strategic buffer stock investments provide substantially higher disruption resilience than lean inventory approaches alone.",,9ad3BlJV04hA3p4tVqmT,Business Analytics & Strategy Lab,2022-06-13
,Customer Lifetime Value Modeling with Recurrent Neural Networks,Marcus Webb|Wei Zhang,"This paper develops recurrent neural network models for customer lifetime value prediction using longitudinal transaction data from a retail firm, benchmarking against traditional probabilistic models. The deep learning approach demonstrates superior predictive accuracy for customers with complex or non-stationary purchasing behavior patterns.",,9ad3BlJV04hA3p4tVqmT,Business Analytics & Strategy Lab,2023-03-19
,Dynamic Pricing Optimization for Perishable Goods in Retail Supply Chains,Rachel Torres|Oscar Bernstein,"This study presents a reinforcement learning framework for dynamic pricing of perishable goods that jointly optimizes markdown timing and discount depth to minimize waste while maximizing revenue across retail distribution networks. Simulation results and a field experiment demonstrate significant improvements in waste reduction and revenue recovery compared to rule-based pricing.",,9ad3BlJV04hA3p4tVqmT,Business Analytics & Strategy Lab,2024-05-21
,Pay-for-Success Contracts and Social Outcomes Measurement in Workforce Development,Kwame Asante|Angela Reyes,"This paper examines the design and implementation of pay-for-success financing contracts in workforce development programs, with attention to outcome measurement validity and stakeholder accountability structures. Case analysis reveals significant challenges in defining and verifying employment outcome metrics that satisfy both investor and program fidelity requirements.",,RPPU2vZFSlgTngM6D6w2,Social Enterprise & Impact Investing Lab,2022-01-06
,Impact Investing and Portfolio Construction in Community Development Finance,Angela Reyes|Nathaniel Cross,"This research investigates portfolio construction strategies for impact investors seeking to allocate capital across community development financial institutions while balancing financial return and social impact objectives. We develop a multi-objective optimization framework incorporating blended finance instruments and impact measurement data.",,RPPU2vZFSlgTngM6D6w2,Social Enterprise & Impact Investing Lab,2023-08-24
,Procedural Narrative Generation for Adaptive Storytelling Systems,Mei Lin|Felix Huang,"This paper presents a procedural narrative generation system for interactive digital media that adapts story progression to player choices using a hierarchical planning architecture combined with natural language generation. Evaluation with human participants shows significant improvements in narrative coherence and player agency perception compared to template-based systems.",,A4RfI1SASbmuofTTigtP,Creative Technology & Interactive Media Lab,2022-07-19
,Haptic Feedback Design in Immersive Virtual Reality Art Experiences,Felix Huang|Sophie Archer,"This research investigates the contribution of haptic feedback modalities to presence, embodiment, and aesthetic engagement in immersive virtual reality art installations. A series of experimental installations and controlled user studies identify interaction design principles that enhance affective response without disrupting narrative immersion.",,A4RfI1SASbmuofTTigtP,Creative Technology & Interactive Media Lab,2023-11-10
,Generative AI and Authorship in Contemporary Digital Art Practice,Mei Lin|Helena Voss,"This paper examines how artists working with generative AI tools conceptualize authorship, creativity, and originality in their practice, drawing on in-depth interviews with professional digital artists. We develop a taxonomy of human-AI creative collaboration modes and analyze their implications for copyright, attribution, and art market valuation.",,A4RfI1SASbmuofTTigtP,Creative Technology & Interactive Media Lab,2024-06-07
,Settler Colonialism and the Curation of Indigenous Artifacts in U.S. Museums,Carlos Morales|Amara Diallo,"This study critically examines curatorial practices and repatriation policies governing indigenous cultural objects in major U.S. museum collections through the lens of settler colonial theory. We analyze NAGPRA implementation records and institutional policies to assess the gap between decolonization rhetoric and actual repatriation practice.",,GjLf3c3Th8Va5vszfGUi,Visual Culture & Critical Theory Group,2021-05-28
,Propaganda Aesthetics and the Visual Politics of Climate Communication,Amara Diallo|Elena Morris,"This paper examines the visual rhetoric and aesthetic strategies deployed in climate communication materials across political and advocacy contexts, analyzing how visual framing shapes public climate risk perception and policy support. We identify aestheticization of disaster imagery and greenwashing visual strategies as particularly influential in shaping audience responses.",,GjLf3c3Th8Va5vszfGUi,Visual Culture & Critical Theory Group,2023-02-16
,Seasonal Hypoxia Dynamics and Benthic Faunal Response in Narragansett Bay,Thomas Wren|Ingrid Larsen,"This study documents seasonal dissolved oxygen dynamics and benthic invertebrate community responses to hypoxic events in Narragansett Bay using high-frequency sensor data and benthic sampling. Results show that hypoxic event frequency and duration have increased over the monitoring period, driving significant shifts in benthic community composition.",,XMhVzxRBjzi7x4ydZiZ8,Marine Ecosystem Monitoring Lab,2022-05-05
,Harmful Algal Bloom Detection Using Remote Sensing and In-Situ Sensors,Ingrid Larsen|Omar Shaikh,"This paper presents a multi-sensor monitoring framework for early detection and tracking of harmful algal blooms in coastal waters using satellite remote sensing combined with autonomous in-situ sensor networks. Machine learning classification applied to multi-spectral imagery achieves high detection accuracy and enables advance warning lead times of 3 to 5 days.",,XMhVzxRBjzi7x4ydZiZ8,Marine Ecosystem Monitoring Lab,2023-01-24
,Long-Term Trends in Phytoplankton Community Composition in Rhode Island Sound,Thomas Wren|Sofia Reyes,"This research analyzes a 25-year time series of phytoplankton community composition data from Rhode Island Sound to document climate-driven changes in species assemblages and phenology. Significant shifts toward smaller cell sizes and changes in the seasonal timing of bloom events are documented and attributed to warming and stratification changes.",,XMhVzxRBjzi7x4ydZiZ8,Marine Ecosystem Monitoring Lab,2024-04-18
,Living Shoreline Effectiveness for Erosion Control and Habitat Provision,Ingrid Larsen|Renata Silva,"This study evaluates the performance of living shoreline installations relative to traditional hardened shoreline structures for erosion control and habitat provision across multiple New England coastal sites. Living shorelines achieve comparable erosion control while providing substantially greater fish and invertebrate habitat area and water quality benefits.",,Bu2Hbfks04xaayRT1Vnc,Coastal Resilience & Climate Adaptation Lab,2022-09-06
,Flood Risk Communication and Managed Retreat Acceptance in Coastal Communities,Renata Silva|Leon Farber,"This paper examines how risk communication framing and community engagement processes affect acceptance of managed retreat from flood-prone coastal areas among affected residents. Participatory planning processes that center community values and long-term place attachment significantly increase willingness to consider managed retreat compared to top-down risk communication.",,Bu2Hbfks04xaayRT1Vnc,Coastal Resilience & Climate Adaptation Lab,2024-03-12
,Hydrodynamic Load Analysis for Floating Offshore Wind Turbine Foundations,Karl Jensen|Omar Shaikh,"This research presents coupled hydrodynamic and structural analysis of floating offshore wind turbine foundation systems under combined wave, current, and wind loading representative of North Atlantic environmental conditions. Results characterize foundation response, mooring system fatigue, and power performance under extreme and operational sea states.",,1cTt77Bc5eej9De5EljW,Ocean Engineering & Blue Economy Lab,2022-04-29
,Structural Fatigue Assessment of Steel Catenary Risers Under Ocean Current Loading,Omar Shaikh|Ivan Petrov,"This paper conducts fatigue life assessment of steel catenary risers subject to vortex-induced vibration under characteristic Gulf Stream and shelf-edge current loading conditions. A frequency-domain spectral fatigue analysis calibrated with field measurements identifies critical riser sections and informs inspection interval requirements.",,1cTt77Bc5eej9De5EljW,Ocean Engineering & Blue Economy Lab,2023-10-07
,Autonomous Underwater Vehicle Path Planning for Seafloor Mapping,Ivan Petrov|Yuki Tanaka,"This study develops and evaluates an adaptive path planning algorithm for autonomous underwater vehicles conducting seafloor bathymetric and habitat mapping missions under vehicle endurance and communication constraints. The algorithm optimizes coverage efficiency by dynamically reallocating waypoints based on real-time data quality assessment.",,1cTt77Bc5eej9De5EljW,Ocean Engineering & Blue Economy Lab,2024-06-24
,Capacity Value of Offshore Wind in Deregulated Electricity Markets,Ingrid Larsen|Victor Russo,"This paper estimates the capacity value of offshore wind generation in deregulated northeastern electricity markets using probabilistic methods calibrated to regional load and wind resource data. Results quantify the contribution of offshore wind to resource adequacy and inform market design rules for capacity auction eligibility.",,4uhewJ8gEDhKwEUipVsy,Offshore Renewable Energy & Grid Integration Lab,2023-04-20
,Transmission Planning for High Offshore Wind Penetration in the Northeast Grid,Victor Russo|Omar Shaikh,"This research analyzes transmission infrastructure requirements and planning challenges for integrating large-scale offshore wind procurement targets into the northeastern U.S. electricity grid. Contingency analysis and production cost modeling identify critical transmission upgrade needs and the role of offshore transmission networks in reducing curtailment.",,4uhewJ8gEDhKwEUipVsy,Offshore Renewable Energy & Grid Integration Lab,2024-05-09
,Polygenic Risk Score Validation in Diverse Ancestry Cohorts,Priya Mehta|Ravi Kapoor,"This study evaluates the transferability and predictive accuracy of polygenic risk scores developed in European ancestry cohorts when applied to individuals of African, Latin American, and East Asian ancestry. We demonstrate systematic degradation in predictive performance across ancestry groups and develop ancestry-specific recalibration approaches.",,mFShleryfY4Fna4QtOEx,Genomics & Precision Medicine Lab,2022-08-30
,Single-Cell RNA Sequencing of Tumor Microenvironments in Breast Cancer,Ravi Kapoor|Anika Petersen,"This paper reports single-cell RNA sequencing characterization of cellular composition and transcriptional states in the tumor microenvironment across breast cancer subtypes, identifying distinct immune cell populations associated with treatment response and prognosis. Cell-cell communication analysis reveals subtype-specific signaling networks that represent potential therapeutic targets.",,mFShleryfY4Fna4QtOEx,Genomics & Precision Medicine Lab,2023-06-03
,Pharmacogenomic Markers for Chemotherapy Toxicity Prediction,Priya Mehta|Elena Walsh,"This study identifies and validates pharmacogenomic markers predictive of severe adverse toxicity to platinum-based and taxane chemotherapy regimens in a prospective clinical cohort. A multi-gene panel outperforms individual variant associations and clinical risk factors for predicting grade 3 to 4 toxicities requiring dose modification or treatment discontinuation.",,mFShleryfY4Fna4QtOEx,Genomics & Precision Medicine Lab,2024-02-22
,CRISPR-Mediated Metabolic Engineering of Yeast for Terpenoid Overproduction,Raj Subramaniam|Anika Petersen,"This paper describes the design and application of a multiplex CRISPR-Cas9 metabolic engineering strategy in Saccharomyces cerevisiae to redirect carbon flux toward terpenoid biosynthesis pathways. The engineered strains achieve high-titer production of high-value sesquiterpene and diterpene target compounds under optimized fed-batch fermentation conditions.",,CiiXCXHRjHcATtCcgMqQ,Biomanufacturing & Synthetic Biology Lab,2022-11-18
,Fed-Batch Bioprocess Optimization for Monoclonal Antibody Yield and Quality,Anika Petersen|Stefan Braun,"This research develops and applies design of experiments and model-based optimization approaches to fed-batch monoclonal antibody bioprocess parameters including feeding strategy, dissolved oxygen setpoint, and pH control. The optimized process achieves significant improvements in final titer and glycosylation profile consistency relative to baseline conditions.",,CiiXCXHRjHcATtCcgMqQ,Biomanufacturing & Synthetic Biology Lab,2024-01-14
,Active Matter Dynamics in Dense Bacterial Suspensions,Stefan Braun|Yuki Lin,"This paper investigates collective motion dynamics, turbulent-like flow patterns, and topological defect formation in dense bacterial suspensions as a model active matter system using high-resolution microscopy and particle tracking. The relationship between swimming speed, cell density, and collective behavior transitions is characterized experimentally and compared with active hydrodynamic theories.",,rgt5krRqhRJZbqpWVZGQ,Physics of Living Systems Lab,2022-03-02
,Mechanotransduction Pathways in Cell Migration Through Confined Geometries,Yuki Lin|Nadia Solberg,"This study examines how cells sense and respond to physical confinement during migration through microfabricated channels of controlled geometry, focusing on nuclear deformation, cytoskeletal remodeling, and mechanotransduction signaling. Results reveal nuclear stiffness as a key determinant of migration speed in tight confinement and identify LINC complex components as critical mechanosensors.",,rgt5krRqhRJZbqpWVZGQ,Physics of Living Systems Lab,2023-09-25
,Quantitative Phase Imaging of Cell Volume Regulation Under Osmotic Stress,Stefan Braun|Marco Ricci,"This paper applies quantitative phase imaging to non-invasively measure cell dry mass and volume dynamics during regulatory volume decrease responses to hypo-osmotic challenge in multiple cell types. The approach reveals cell-type-specific volume regulation kinetics and the contribution of cytoskeletal reorganization to rapid osmotic adaptation.",,rgt5krRqhRJZbqpWVZGQ,Physics of Living Systems Lab,2024-05-03
,Theta Oscillations and Spatial Memory Encoding in Hippocampal Place Cells,Yuki Lin|Elena Walsh,"This study investigates the relationship between hippocampal theta oscillation phase and spike timing in place cells during active spatial exploration and memory-guided navigation in rodents. Phase precession analysis reveals systematic relationships between theta phase coding, running speed, and spatial memory performance on a maze task.",,2cYSmU5WJQToaIgWP8tW,Neurophysiology & Neural Circuits Lab,2022-07-11
,Synaptic Plasticity Rules for Sequence Learning in Cortical Circuits,Elena Walsh|Stefan Braun,"This paper develops and analyzes biophysically constrained models of spike-timing-dependent synaptic plasticity rules in cortical circuits and examines their capacity to support temporal sequence learning and replay. Simulations show that asymmetric STDP windows combined with homeostatic scaling enable reliable sequence storage and spontaneous reactivation.",,2cYSmU5WJQToaIgWP8tW,Neurophysiology & Neural Circuits Lab,2024-02-09
,Touch DNA Recovery Efficiency from Common Substrate Materials,Lena Graves|Carlos Morales,"This study systematically evaluates touch DNA recovery efficiency from common substrate materials including glass, metal, plastic, and fabric using multiple collection and extraction protocols. We identify substrate-specific protocols that maximize cellular material recovery and provide statistical models for interpreting low-template forensic touch DNA evidence.",,eV1rgWFSqlfTYE0mxIhA,Forensic DNA & Trace Evidence Lab,2021-11-22
,Low-Copy-Number STR Profiling with Next-Generation Sequencing Platforms,Carlos Morales|Priya Mehta,"This paper evaluates next-generation sequencing platforms for short tandem repeat profiling of low-copy-number forensic DNA samples, comparing performance against capillary electrophoresis for allele detection sensitivity and mixture interpretation accuracy. Sequencing-based STR typing demonstrates superior sensitivity for degraded samples while enabling sequence-level allele discrimination.",,eV1rgWFSqlfTYE0mxIhA,Forensic DNA & Trace Evidence Lab,2023-03-14
,Trace Fiber Analysis and Probabilistic Source Attribution in Investigations,Lena Graves|Anika Petersen,"This research develops probabilistic frameworks for evaluating the strength of evidence from trace fiber comparisons in forensic investigations, incorporating population frequency databases and transfer persistence data. The Bayesian approach provides defensible likelihood ratio statistics that can be communicated transparently in expert testimony.",,eV1rgWFSqlfTYE0mxIhA,Forensic DNA & Trace Evidence Lab,2024-04-30
,Mechanochemical Synthesis of Pharmaceuticals Without Organic Solvents,Anika Petersen|Raj Subramaniam,"This paper demonstrates solvent-free mechanochemical synthesis routes for a series of pharmaceutical active ingredients and key intermediates using ball milling technology. The approach achieves comparable or superior yields and purity to solution-phase synthesis while eliminating organic solvent waste streams and reducing reaction times.",,7PGSLBJT18dzfSALVhJe,Green Chemistry & Sustainable Synthesis Lab,2022-10-27
,Bio-Catalytic Routes to Fine Chemicals Using Engineered Enzyme Cascades,Raj Subramaniam|Omar Shaikh,"This research develops engineered enzyme cascade reactions for the biocatalytic synthesis of chiral fine chemicals from bio-derived starting materials under mild aqueous conditions. Protein engineering strategies applied to key bottleneck enzymes improve activity, selectivity, and operational stability sufficient for preparative-scale synthesis.",,7PGSLBJT18dzfSALVhJe,Green Chemistry & Sustainable Synthesis Lab,2024-03-08
,PFAS Contamination in Southern New England Groundwater: Exposure and Health Risk,Thomas Wren|Elena Walsh,"This study characterizes per- and polyfluoroalkyl substance contamination in private well and public groundwater supplies across southern New England, developing spatial exposure models and quantitative health risk assessments for affected communities. We identify proximity to military airfields, fire training facilities, and industrial sites as primary determinants of PFAS exceedance risk.",,eLvdxnycbFt6K4yofp9Z,Environmental Toxicology & Risk Assessment Lab,2022-06-21
,Microplastic Ingestion and Endocrine Disruption in Estuarine Fish Populations,Elena Walsh|Sofia Reyes,"This paper documents microplastic ingestion prevalence, particle characteristics, and associated endocrine-disrupting chemical burdens in estuarine fish populations from Narragansett Bay and adjacent coastal waters. Tissue biomarker analysis reveals correlations between microplastic-associated chemical exposure and endocrine disruption endpoints in juvenile fish.",,eLvdxnycbFt6K4yofp9Z,Environmental Toxicology & Risk Assessment Lab,2023-12-19
,Cumulative Risk Assessment for Air Toxics in Environmental Justice Communities,Thomas Wren|Lena Graves,"This research develops and applies a cumulative risk assessment framework incorporating multiple air toxic emissions sources to characterize cancer and non-cancer health risks in environmental justice communities across Rhode Island. Results identify persistent spatial disparities in air toxic burden that disproportionately affect communities of color and low-income populations.",,eLvdxnycbFt6K4yofp9Z,Environmental Toxicology & Risk Assessment Lab,2024-06-11
,Scale-Up Challenges for Cell Therapy Manufacturing: Mixing and Oxygen Delivery,Anika Petersen|Raj Subramaniam,"This paper investigates mixing uniformity and oxygen delivery challenges encountered during scale-up of cell therapy manufacturing processes from laboratory to clinical production scale. Computational fluid dynamics modeling combined with experimental validation identifies bioreactor design parameters and operating conditions that maintain cell culture performance at scale.",,2R61bV9BNXSpC3ZxBJiU,Biochemical Engineering & Bioprocess Lab,2023-05-17
,Continuous Bioprocessing for mRNA Vaccine Antigen Production,Raj Subramaniam|Stefan Braun,"This study develops and characterizes an integrated continuous bioprocessing platform for mRNA vaccine antigen production combining cell-free transcription with continuous chromatographic purification. The approach achieves significant improvements in volumetric productivity and product quality consistency compared to batch manufacturing processes.",,2R61bV9BNXSpC3ZxBJiU,Biochemical Engineering & Bioprocess Lab,2024-04-01
,SNAP Participation Food Security and Health Among Children in Low-Income Households,Angela Reyes|James Owusu,"This paper examines the effects of SNAP participation on food security, dietary quality, and health outcomes for children in low-income households using longitudinal survey data with quasi-experimental identification of program effects. We find that SNAP participation significantly reduces food insecurity and improves diet quality for young children, with larger effects for households with the lowest pre-transfer incomes.",,jEiyOR787soa6ZFHWjuP,Poverty Inequality & Social Policy Lab,2022-01-27
,Earned Income Tax Credit and Maternal and Infant Health Outcomes,James Owusu|Claire Fontaine,"This research uses variation in state EITC supplement generosity to identify causal effects of the Earned Income Tax Credit on maternal and infant health outcomes including prenatal care, birth weight, and maternal mental health. Increased EITC generosity is associated with significant improvements in birth weight and reduced rates of maternal depression.",,jEiyOR787soa6ZFHWjuP,Poverty Inequality & Social Policy Lab,2023-07-17
,Eviction Housing Instability and Long-Run Earnings in Low-Income Renters,Claire Fontaine|Leon Farber,"This study uses court eviction records linked to administrative earnings data to estimate the long-run causal effect of eviction on earnings trajectories for low-income renters. We find that eviction causes persistent earnings losses over a ten-year window through disrupted employment relationships and geographic displacement from high-opportunity neighborhoods.",,jEiyOR787soa6ZFHWjuP,Poverty Inequality & Social Policy Lab,2024-03-26
,Structural Drivers of Black-White Hypertension Disparities in the Northeastern U.S.,Ravi Kapoor|Lena Graves,"This research applies multilevel models to examine how neighborhood-level structural factors including residential segregation, built environment characteristics, and local health resource access contribute to Black-white hypertension prevalence disparities across northeastern metropolitan areas. Structural factors explain a substantial share of racial hypertension disparities independent of individual-level risk factors.",,bsdkZJepw4RiCALwtexE,Community Health Disparities Lab,2022-10-01
,Community Health Worker Programs and Chronic Disease Management in Underserved Areas,Lena Graves|Susan Park,"This paper evaluates the effectiveness of community health worker-led chronic disease management programs in reducing hospitalizations and improving disease control for patients with diabetes and hypertension in medically underserved areas. Programs with structured care coordination protocols and co-location in primary care settings demonstrate the largest improvements in clinical outcomes.",,bsdkZJepw4RiCALwtexE,Community Health Disparities Lab,2024-02-17
,Critical Race Theory in Higher Education Policy: Implications for Diversity Initiatives,Carlos Morales|Amara Diallo,"This paper examines the implications of critical race theoretical frameworks for the design and evaluation of diversity, equity, and inclusion initiatives in higher education institutions. We analyze how race-neutral and race-conscious institutional policies interact with structural racism mechanisms to shape equity outcomes for students of color.",,bh7mTHvOvU064q8LMw5Q,Race Equity & Social Justice Lab,2022-04-06
,Policing Mass Incarceration and Community Trust in Urban Neighborhoods,Amara Diallo|Angela Reyes,"This research investigates the relationship between local policing practices, mass incarceration exposure, and community trust in law enforcement and government institutions in urban neighborhoods of color. Survey and ethnographic data show that concentrated incarceration exposure significantly erodes institutional trust and civic participation in affected communities.",,bh7mTHvOvU064q8LMw5Q,Race Equity & Social Justice Lab,2023-09-29
,Environmental Racism and Siting of Industrial Facilities in Communities of Color,Angela Reyes|Thomas Wren,"This study applies quantitative spatial analysis and historical case studies to document the disproportionate siting of environmentally burdensome industrial facilities in communities of color across the northeastern United States. The pattern is traced to the interaction of racially discriminatory zoning histories, real estate market dynamics, and weaknesses in environmental justice regulatory enforcement.",,bh7mTHvOvU064q8LMw5Q,Race Equity & Social Justice Lab,2024-05-15
,Heritage Language Maintenance and Identity Among Second-Generation Immigrants,Fatima Al-Hassan|Carlos Morales,"This paper examines the relationship between heritage language maintenance practices and ethnic identity formation among second-generation immigrant youth from diverse linguistic backgrounds in a northeastern U.S. city. Family language policy, co-ethnic peer networks, and school-based heritage language programs are identified as key factors supporting heritage language retention and positive bicultural identity outcomes.",,0qJ45GeVfFoGnCMVV6qq,Cross-Cultural Communication & Inclusion Lab,2022-02-22
